objectid;straatnaam;postcode6;postcode4;hsnr_laag;hsnr_hoog;hsnr_aant;buurtcode;buurtnaam;wijkcode;wijknaam;stadsdeelcode;stadsdeelnaam;x_rd;y_rd;longitude;latitude;geo_shape;geo_point_2d
638;Bosschastraat;5612PR;5612;2.0;16.0;8.0;411;Limbeek-Noord;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;160309.44365;384300.80905893;5.4635779;51.44777086;"{""coordinates"": [5.463576616520527, 51.44777052679005], ""type"": ""Point""}";51.44777052679005, 5.463576616520527
639;Bossistraat;5653BX;5653;2.0;10.0;5.0;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel;159397.76132936;381887.9967;5.45043307;51.42609074;"{""coordinates"": [5.450431869885579, 51.42609043055129], ""type"": ""Point""}";51.42609043055129, 5.450431869885579
641;Bosviool;5658CS;5658;1.0;20.0;20.0;639;Bosrijk;63;Wijk Meerhoven;6;Stadsdeel Strijp;156791.31945;383785.88052486;5.41296665;51.44316456;"{""coordinates"": [5.4129652824871215, 51.44316425666712], ""type"": ""Point""}";51.44316425666712, 5.4129652824871215
642;Bosvoordelaan;5628VN;5628;1.0;33.0;22.0;532;Tempel;53;Wijk Aanschot;5;Stadsdeel Woensel-Noord;161951.2279;387769.71194598;5.48726374;51.47893373;"{""coordinates"": [5.487262371477459, 51.47893335792578], ""type"": ""Point""}";51.47893335792578, 5.487262371477459
643;Botenlaan;5616JE;5616;1.0;41.0;21.0;614;Schouwbroek;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;159437.8853;383360.11012681;5.45102856;51.43932278;"{""coordinates"": [5.4510272904388, 51.43932245698747], ""type"": ""Point""}";51.43932245698747, 5.4510272904388
650;Bourgognelaan;5627KR;5627;45.0;61.0;9.0;522;Achtse Barrier-Gunterslaer;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;159368.12686073;388471.4599;5.45008885;51.4852675;"{""coordinates"": [5.450087329765123, 51.48526713829488], ""type"": ""Point""}";51.48526713829488, 5.450087329765123
655;Boutenslaan;5615CX;5615;12.0;30.0;10.0;217;Looiakkers;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;161574.7687;381826.63126462;5.4817335;51.42551793;"{""coordinates"": [5.481732407657431, 51.425517618696624], ""type"": ""Point""}";51.425517618696624, 5.481732407657431
656;Boutenslaan;5615JV;5615;34.0;34.0;1.0;711;Schrijversbuurt;71;Wijk Rozenknopje;7;Stadsdeel Gestel;160910.70205855;381823.288;5.47218544;51.42549524;"{""coordinates"": [5.472184316332829, 51.4254949298945], ""type"": ""Point""}";51.4254949298945, 5.472184316332829
657;Boutenslaan;5615KT;5615;36.0;56.0;107.0;711;Schrijversbuurt;71;Wijk Rozenknopje;7;Stadsdeel Gestel;160465.53209015;382016.99565;5.46578776;51.42724091;"{""coordinates"": [5.4657866064878124, 51.42724060294692], ""type"": ""Point""}";51.42724060294692, 5.4657866064878124
660;Boutenslaan;5644TT;5644;97.0;143.0;24.0;223;Genneperzijde;22;Wijk Kortonjo;2;Stadsdeel Stratum;161659.56581421;381645.70495;5.4829493;51.42389065;"{""coordinates"": [5.482948216910242, 51.4238903358759], ""type"": ""Point""}";51.4238903358759, 5.482948216910242
665;Bouvigne;5653LE;5653;3.0;43.0;18.0;731;Genderbeemd;73;Wijk Gestelse Ontginning;7;Stadsdeel Gestel;158205.08735;381261.46534954;5.43327877;51.42046711;"{""coordinates"": [5.4332775519621475, 51.42046680341131], ""type"": ""Point""}";51.42046680341131, 5.4332775519621475
666;Bouvigne;5653LE;5653;1.0;1.0;1.0;732;Hanevoet;73;Wijk Gestelse Ontginning;7;Stadsdeel Gestel;158205.08735;381261.46534954;5.43327877;51.42046711;"{""coordinates"": [5.4332775519621475, 51.42046680341131], ""type"": ""Point""}";51.42046680341131, 5.4332775519621475
667;Bouvigne;5653LG;5653;47.0;81.0;18.0;731;Genderbeemd;73;Wijk Gestelse Ontginning;7;Stadsdeel Gestel;158690.48394961;381668.03665;5.44026134;51.42411867;"{""coordinates"": [5.440260120387683, 51.42411836758913], ""type"": ""Point""}";51.42411836758913, 5.440260120387683
668;Bouvigne;5653LH;5653;2.0;50.0;25.0;731;Genderbeemd;73;Wijk Gestelse Ontginning;7;Stadsdeel Gestel;158263.0807;381438.66065374;5.43411416;51.42205953;"{""coordinates"": [5.434112932402643, 51.422059223180504], ""type"": ""Point""}";51.422059223180504, 5.434112932402643
671;Boven Zijde;5626EB;5626;1.0;19.0;15.0;520;Kapelbeemd;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;157608.057443;388699.34875;5.42475089;51.48732685;"{""coordinates"": [5.424749331857459, 51.487326509236105], ""type"": ""Point""}";51.487326509236105, 5.424749331857459
678;Brahmslaan;5654NW;5654;1.0;61.0;88.0;722;Blaarthem;72;Wijk Oud-Gestel;7;Stadsdeel Gestel;160041.39204487;381725.0182;5.45968503;51.42462038;"{""coordinates"": [5.4596838641558, 51.42462007159955], ""type"": ""Point""}";51.42462007159955, 5.4596838641558
679;Brakenstraat;5645KS;5645;6.0;15.0;2.0;240;Riel;23;Wijk Putten;2;Stadsdeel Stratum;164506.37004226;381921.6756;5.52388681;51.42633042;"{""coordinates"": [5.5238858516207845, 51.42633008720453], ""type"": ""Point""}";51.42633008720453, 5.5238858516207845
680;Bram Venemanlaan;5644HV;5644;5.0;5.0;1.0;226;Sportpark Aalsterweg;22;Wijk Kortonjo;2;Stadsdeel Stratum;161538.8153;380213.1406649;5.48118661;51.4110152;"{""coordinates"": [5.481185558244244, 51.41101489465234], ""type"": ""Point""}";51.41101489465234, 5.481185558244244
683;Brasschaatpad;5628TP;5628;1.0;35.0;18.0;532;Tempel;53;Wijk Aanschot;5;Stadsdeel Woensel-Noord;161546.9654011;387857.26335;5.48144603;51.47972555;"{""coordinates"": [5.4814446382586315, 51.47972517944837], ""type"": ""Point""}";51.47972517944837, 5.4814446382586315
685;Bredalaan;5652JA;5652;1.0;41.0;22.0;622;Het Ven;62;Wijk Halve Maan;6;Stadsdeel Strijp;158876.27952783;383267.90685;5.44295028;51.43849814;"{""coordinates"": [5.4429489928804875, 51.438497826526785], ""type"": ""Point""}";51.438497826526785, 5.4429489928804875
686;Bredalaan;5652JB;5652;43.0;77.0;28.0;622;Het Ven;62;Wijk Halve Maan;6;Stadsdeel Strijp;158782.82840579;383287.47675;5.44160646;51.43867469;"{""coordinates"": [5.44160516812931, 51.43867437069864], ""type"": ""Point""}";51.43867437069864, 5.44160516812931
688;Bredalaan;5652JD;5652;119.0;169.0;25.0;622;Het Ven;62;Wijk Halve Maan;6;Stadsdeel Strijp;158367.20729786;383412.67035;5.4356301;51.43980265;"{""coordinates"": [5.435628786026603, 51.43980234060328], ""type"": ""Point""}";51.43980234060328, 5.435628786026603
689;Bredalaan;5652JE;5652;2.0;48.0;25.0;622;Het Ven;62;Wijk Halve Maan;6;Stadsdeel Strijp;158906.02362634;383294.10745;5.44337836;51.43873344;"{""coordinates"": [5.443377068954225, 51.43873312904103], ""type"": ""Point""}";51.43873312904103, 5.443377068954225
693;Bredalaan;5652JK;5652;172.0;224.0;18.0;622;Het Ven;62;Wijk Halve Maan;6;Stadsdeel Strijp;158406.7731;383429.14840043;5.43619932;51.43995053;"{""coordinates"": [5.436198005181275, 51.439950217146325], ""type"": ""Point""}";51.439950217146325, 5.436198005181275
700;Breitnerstraat;5613LA;5613;9.0;11.0;2.0;211;Irisbuurt;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;162349.2503;382923.89897594;5.49289196;51.43537134;"{""coordinates"": [5.492890857397546, 51.43537101189372], ""type"": ""Point""}";51.43537101189372, 5.492890857397546
701;Brestlaan;5627NZ;5627;4.0;28.0;13.0;524;Achtse Barrier-Hoeven;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;159373.9879;389453.15703408;5.45018548;51.49409158;"{""coordinates"": [5.450183945340655, 51.494091211206204], ""type"": ""Point""}";51.494091211206204, 5.450183945340655
709;Bronziet;5629HB;5629;1.0;21.0;15.0;533;Blixembosch-West;53;Wijk Aanschot;5;Stadsdeel Woensel-Noord;160150.73178684;388581.0854;5.46135759;51.48624626;"{""coordinates"": [5.461356099444225, 51.486245886419354], ""type"": ""Point""}";51.486245886419354, 5.461356099444225
714;Brugmanstraat;5621BV;5621;1.0;41.0;21.0;421;Woensel-West;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;159656.04864071;385271.2914;5.4541916;51.45649998;"{""coordinates"": [5.454190230489697, 51.45649964705445], ""type"": ""Point""}";51.45649964705445, 5.454190230489697
716;Brugmanstraat;5621BX;5621;2.0;42.0;23.0;421;Woensel-West;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;159610.15652553;385272.2222;5.45353133;51.45650873;"{""coordinates"": [5.453529951338711, 51.45650839204691], ""type"": ""Point""}";51.45650839204691, 5.453529951338711
717;Brugmanstraat;5621BZ;5621;44.0;72.0;16.0;421;Woensel-West;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;159550.99075;385179.33043438;5.45267885;51.45567424;"{""coordinates"": [5.452677482539854, 51.455673902293775], ""type"": ""Point""}";51.455673902293775, 5.452677482539854
723;Bruunstraat;5625GG;5625;1.0;13.0;7.0;513;Jagershoef;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;160347.33141204;387216.0064;5.46416729;51.47397421;"{""coordinates"": [5.464165852151388, 51.47397384758064], ""type"": ""Point""}";51.47397384758064, 5.464165852151388
728;Buijs Ballotstraat;5621EK;5621;42.0;54.0;7.0;421;Woensel-West;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;159908.8807;385200.05104049;5.45782832;51.45585748;"{""coordinates"": [5.45782696413657, 51.45585714050773], ""type"": ""Point""}";51.45585714050773, 5.45782696413657
733;Buntveld;5646AH;5646;1.0;5.0;3.0;238;Schuttersbosch;23;Wijk Putten;2;Stadsdeel Stratum;162889.3644;380713.18986213;5.50060992;51.41549269;"{""coordinates"": [5.500608920779128, 51.41549238233091], ""type"": ""Point""}";51.41549238233091, 5.500608920779128
739;Burgemeester Wittestraat;5616DB;5616;2.0;36.0;18.0;613;Engelsbergen;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;159963.60835;382821.53577353;5.45858214;51.43447731;"{""coordinates"": [5.45858092082082, 51.43447699873127], ""type"": ""Point""}";51.43447699873127, 5.45858092082082
747;Busken Huetstraat;5615NH;5615;31.0;59.0;25.0;711;Schrijversbuurt;71;Wijk Rozenknopje;7;Stadsdeel Gestel;160731.00457971;381943.6616;5.4696037;51.4265791;"{""coordinates"": [5.469602558153886, 51.42657878655091], ""type"": ""Point""}";51.42657878655091, 5.469602558153886
749;Bussele;5641PA;5641;2.0;28.0;14.0;333;Muschberg, Geestenberg;33;Wijk Oud-Tongelre;3;Stadsdeel Tongelre;164374.40280947;383880.8017;5.52204151;51.44394254;"{""coordinates"": [5.522040463258105, 51.443942197240766], ""type"": ""Point""}";51.443942197240766, 5.522040463258105
750;Bussele;5641PB;5641;30.0;64.0;18.0;333;Muschberg, Geestenberg;33;Wijk Oud-Tongelre;3;Stadsdeel Tongelre;164467.2862883;383855.69395;5.52337685;51.4437153;"{""coordinates"": [5.5233758183788435, 51.443714958793905], ""type"": ""Point""}";51.443714958793905, 5.5233758183788435
754;Busweg;5632PN;5632;40.0;90.0;26.0;544;Heesterakker;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord;162509.80531046;388313.1324;5.49531605;51.48381116;"{""coordinates"": [5.495314697563681, 51.48381078050428], ""type"": ""Point""}";51.48381078050428, 5.495314697563681
756;Buyaard;5641LL;5641;1.0;33.0;17.0;333;Muschberg, Geestenberg;33;Wijk Oud-Tongelre;3;Stadsdeel Tongelre;164795.83334646;383885.33225;5.52810343;51.44397609;"{""coordinates"": [5.5281024133151355, 51.44397574681081], ""type"": ""Point""}";51.44397574681081, 5.5281024133151355
758;Byrdstraat;5623PL;5623;1.0;101.0;56.0;432;Oude Toren;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid;161414.27271775;385018.28355;5.47948407;51.45420848;"{""coordinates"": [5.4794827986162264, 51.45420813973914], ""type"": ""Point""}";51.45420813973914, 5.4794827986162264
759;Béziershof;5627NR;5627;1.0;31.0;16.0;524;Achtse Barrier-Hoeven;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;158942.32871679;388798.99565;5.44396233;51.48821475;"{""coordinates"": [5.443960793434901, 51.48821439402721], ""type"": ""Point""}";51.48821439402721, 5.443960793434901
761;Caenlaan;5627EV;5627;1.0;47.0;24.0;524;Achtse Barrier-Hoeven;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;159043.83708104;389008.0595;5.44542625;51.49009323;"{""coordinates"": [5.445424711715132, 51.4900928700034], ""type"": ""Point""}";51.4900928700034, 5.445424711715132
762;Cahorslaan;5627BN;5627;61.0;95.0;18.0;523;Achtse Barrier-Spaaihoef;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;158583.66267977;387973.26605;5.43878986;51.48079496;"{""coordinates"": [5.438788322896591, 51.480794614702006], ""type"": ""Point""}";51.480794614702006, 5.438788322896591
765;Cahorslaan;5627BX;5627;2.0;4.0;2.0;523;Achtse Barrier-Spaaihoef;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;158444.99344428;388008.3444;5.43679398;51.48111114;"{""coordinates"": [5.4367924432780335, 51.481110790469074], ""type"": ""Point""}";51.481110790469074, 5.4367924432780335
766;Calaislaan;5627NC;5627;1.0;61.0;31.0;524;Achtse Barrier-Hoeven;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;159248.76125;388626.33031352;5.44837222;51.48666049;"{""coordinates"": [5.4483706960357745, 51.48666012923443], ""type"": ""Point""}";51.48666012923443, 5.4483706960357745
767;Calaislaan;5627ND;5627;2.0;76.0;38.0;524;Achtse Barrier-Hoeven;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;159156.61615325;388726.6812;5.44704676;51.4875632;"{""coordinates"": [5.44704523247331, 51.487562837700516], ""type"": ""Point""}";51.487562837700516, 5.44704523247331
768;Calchaslaan;5631CC;5631;2.0;36.0;18.0;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid;162313.87495;385500.87081754;5.4924368;51.45853532;"{""coordinates"": [5.492435558480916, 51.458534967792], ""type"": ""Point""}";51.458534967792, 5.492435558480916
770;Cameliastraat;5644CM;5644;1.0;31.0;16.0;221;Kerstroosplein;22;Wijk Kortonjo;2;Stadsdeel Stratum;162333.67775;380846.84019886;5.49262475;51.41670154;"{""coordinates"": [5.492623730370157, 51.416701229693146], ""type"": ""Point""}";51.416701229693146, 5.492623730370157
772;Camphuysenstraat;5615KS;5615;1.0;9.0;7.0;711;Schrijversbuurt;71;Wijk Rozenknopje;7;Stadsdeel Gestel;160627.0042;381960.93001014;5.46810861;51.42673537;"{""coordinates"": [5.468107467343039, 51.42673505574892], ""type"": ""Point""}";51.42673505574892, 5.468107467343039
773;Campinastraat;5613MT;5613;20.0;333.0;218.0;211;Irisbuurt;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;162969.63722375;382809.60415;5.50181127;51.43433554;"{""coordinates"": [5.501810204776639, 51.43433521647412], ""type"": ""Point""}";51.43433521647412, 5.501810204776639
774;Canadastraat;5651CE;5651;1.0;27.0;14.0;624;Drents Dorp;62;Wijk Halve Maan;6;Stadsdeel Strijp;159353.6569;384344.96887578;5.44982935;51.448176;"{""coordinates"": [5.449828020843338, 51.448175678374476], ""type"": ""Point""}";51.448175678374476, 5.449828020843338
776;Canneshof;5627GZ;5627;1.0;26.0;26.0;522;Achtse Barrier-Gunterslaer;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;159281.7103;387875.77203288;5.44883744;51.47991374;"{""coordinates"": [5.448835933750983, 51.4799133800908], ""type"": ""Point""}";51.4799133800908, 5.448835933750983
781;Cantecleerstraat;5625GR;5625;2.0;32.0;16.0;513;Jagershoef;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;160155.74227136;387297.03305;5.46141086;51.47470432;"{""coordinates"": [5.461409413503731, 51.47470395857467], ""type"": ""Point""}";51.47470395857467, 5.461409413503731
783;Carel Willinkstraat;5645LH;5645;1.0;59.0;30.0;230;Puttense Dreef;23;Wijk Putten;2;Stadsdeel Stratum;163880.79259611;382193.4064;5.51489891;51.42878312;"{""coordinates"": [5.514897916879476, 51.4287827932644], ""type"": ""Point""}";51.4287827932644, 5.514897916879476
784;Carel Willinkstraat;5645LJ;5645;2.0;76.0;38.0;230;Puttense Dreef;23;Wijk Putten;2;Stadsdeel Stratum;164138.7272038;382171.64725;5.51860721;51.42858341;"{""coordinates"": [5.518606229155021, 51.42858308188799], ""type"": ""Point""}";51.42858308188799, 5.518606229155021
789;Caspar Netscherstraat;5643VD;5643;2.0;26.0;13.0;232;Burghplan;23;Wijk Putten;2;Stadsdeel Stratum;163235.5064;382132.83116415;5.50561886;51.42824843;"{""coordinates"": [5.50561784172725, 51.42824810990876], ""type"": ""Point""}";51.42824810990876, 5.50561784172725
791;Cassandraplein;5631BA;5631;1.0;20.0;51.0;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid;162080.1122;385635.63073166;5.48907602;51.45974962;"{""coordinates"": [5.489074756456474, 51.4597492671286], ""type"": ""Point""}";51.4597492671286, 5.489074756456474
792;Cassandraplein;5631BB;5631;21.0;92.0;72.0;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid;162156.71667347;385660.4285;5.49017877;51.45997155;"{""coordinates"": [5.490177517551743, 51.45997119624112], ""type"": ""Point""}";51.45997119624112, 5.490177517551743
794;Castiliëlaan;5629CG;5629;99.0;129.0;23.0;535;Castiliëlaan;53;Wijk Aanschot;5;Stadsdeel Woensel-Noord;160289.1316;389336.62256055;5.46336156;51.49303622;"{""coordinates"": [5.463360063989415, 51.49303584729788], ""type"": ""Point""}";51.49303584729788, 5.463360063989415
796;Castorstraat;5631EK;5631;1.0;35.0;18.0;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid;161929.6378;385614.84612514;5.48691045;51.45956467;"{""coordinates"": [5.486909180590569, 51.45956431573916], ""type"": ""Point""}";51.45956431573916, 5.486909180590569
799;Castorstraat;5631EN;5631;2.0;24.0;12.0;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid;161955.52485;385661.66113369;5.48728386;51.45998515;"{""coordinates"": [5.487282590951234, 51.45998479953874], ""type"": ""Point""}";51.45998479953874, 5.487282590951234
800;Catharinaplein;5611DE;5611;1.0;93.0;48.0;111;Binnenstad;11;Wijk Centrum;1;Stadsdeel Centrum;161452.0979;383123.62474685;5.47999351;51.4371776;"{""coordinates"": [5.479992345780333, 51.43717727534007], ""type"": ""Point""}";51.43717727534007, 5.479992345780333
803;Cavallilaan;5654BD;5654;149.0;221.0;37.0;724;Bennekel-Oost;72;Wijk Oud-Gestel;7;Stadsdeel Gestel;160483.90208198;381251.73015;5.46603998;51.42036201;"{""coordinates"": [5.466038850904064, 51.420361702082516], ""type"": ""Point""}";51.420361702082516, 5.466038850904064
804;Cavallilaan;5654BE;5654;223.0;295.0;37.0;724;Bennekel-Oost;72;Wijk Oud-Gestel;7;Stadsdeel Gestel;160466.36170024;381190.44295;5.46578686;51.41981129;"{""coordinates"": [5.465785731853989, 51.41981098179035], ""type"": ""Point""}";51.41981098179035, 5.465785731853989
809;Cellostraat;5642TG;5642;47.0;97.0;26.0;328;Tongelresche Akkers;32;Wijk Doornakkers;3;Stadsdeel Tongelre;164405.2539;382954.82166636;5.52246052;51.43561871;"{""coordinates"": [5.522459522757417, 51.43561837626702], ""type"": ""Point""}";51.43561837626702, 5.522459522757417
817;Centauriestraat;5643JL;5643;2.0;34.0;17.0;237;Kruidenbuurt;23;Wijk Putten;2;Stadsdeel Stratum;162809.60125;381007.15785323;5.49946984;51.41813619;"{""coordinates"": [5.499468838925103, 51.41813587557565], ""type"": ""Point""}";51.41813587557565, 5.499468838925103
820;Cevenneshof;5627CM;5627;1.0;28.0;24.0;523;Achtse Barrier-Spaaihoef;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;158948.12403768;388458.57195;5.44404194;51.48515476;"{""coordinates"": [5.444040405617484, 51.48515440724426], ""type"": ""Point""}";51.48515440724426, 5.444040405617484
821;Chalonhof;5627LG;5627;1.0;10.0;10.0;522;Achtse Barrier-Gunterslaer;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;159247.14724057;388253.0257;5.44834447;51.483305;"{""coordinates"": [5.448342944240002, 51.48330464070108], ""type"": ""Point""}";51.48330464070108, 5.448342944240002
825;Chamonixlaan;5627KD;5627;103.0;177.0;38.0;524;Achtse Barrier-Hoeven;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;159060.78283153;388886.33105;5.44566883;51.48899893;"{""coordinates"": [5.445667296684375, 51.48899857504918], ""type"": ""Point""}";51.48899857504918, 5.445667296684375
834;Charles Roelslaan;5644HX;5644;15.0;15.0;1.0;726;Gennep;72;Wijk Oud-Gestel;7;Stadsdeel Gestel;161182.4144;379851.18173624;5.47605753;51.40776569;"{""coordinates"": [5.476056465846975, 51.407765382184884], ""type"": ""Point""}";51.407765382184884, 5.476056465846975
835;Charlevillehof;5627DG;5627;1.0;41.0;21.0;523;Achtse Barrier-Spaaihoef;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;158759.34575;388367.68766962;5.44132314;51.48433913;"{""coordinates"": [5.441321600526414, 51.48433877834635], ""type"": ""Point""}";51.48433877834635, 5.441321600526414
839;Chaussonstraat;5653HZ;5653;1.0;36.0;22.0;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel;159325.40915;381588.55074818;5.44938909;51.42339968;"{""coordinates"": [5.449387900113721, 51.42339936811574], ""type"": ""Point""}";51.42339936811574, 5.449387900113721
840;Cherbourglaan;5627MJ;5627;1.0;35.0;19.0;524;Achtse Barrier-Hoeven;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;159359.32676588;388927.0489;5.44996782;51.4893627;"{""coordinates"": [5.449966289891116, 51.489362331569176], ""type"": ""Point""}";51.489362331569176, 5.449966289891116
841;Cherbourglaan;5627MK;5627;37.0;67.0;16.0;524;Achtse Barrier-Hoeven;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;159357.51740007;388973.7248;5.44994235;51.48978226;"{""coordinates"": [5.449940816825788, 51.489781898354295], ""type"": ""Point""}";51.489781898354295, 5.449940816825788
842;Cherbourglaan;5627ML;5627;2.0;38.0;19.0;524;Achtse Barrier-Hoeven;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;159448.1891;388962.63400827;5.45124773;51.48968186;"{""coordinates"": [5.451246206128689, 51.48968149554923], ""type"": ""Point""}";51.48968149554923, 5.451246206128689
